pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
230212102,0,1993,21-29,NA,3100,NA,NA,6000
230167102,0,1950,64-72,2300,NA,2800,3000,NA
230399103,1,1994,20-28,NA,2500,5300,11000,10000
230592103,0,1993,21-29,NA,NA,NA,3000,5000
230064103,1,1981,33-41,NA,4000,3500,5000,4500
230038102,1,1981,33-41,NA,3000,3500,5000,4000
312092105,1,1997,17-25,NA,NA,NA,3000,5500
311971103,1,1986,28-36,NA,NA,4000,6000,6000
320123102,1,1968,46-54,8000,NA,NA,9000,NA
320133104,0,1987,27-35,NA,NA,NA,3500,4600
320133103,1,1985,29-37,4500,6000,NA,7000,7000
320215102,1,1976,38-46,4500,4000,NA,NA,NA
320221101,1,1966,48-56,5000,NA,NA,7000,7000
330211106,0,1993,21-29,NA,NA,4500,6000,7000
340225103,1,1996,18-26,3200,1500,4500,4000,5000
340294102,1,1973,41-49,6000,NA,8000,7000,NA
340289104,0,1986,28-36,5000,NA,5000,6000,3000
340293103,0,1995,19-27,2500,NA,5000,5000,6000
340289103,1,1983,31-39,5000,NA,NA,5000,4000
340357101,1,1978,36-44,NA,NA,NA,3700,3000
340298101,0,1975,39-47,300,NA,NA,3000,NA
340357103,1,1983,31-39,82000,NA,1500,1300,1638
340348104,0,1994,20-28,NA,NA,NA,5000,12000
340342104,0,1986,28-36,1000,1200,NA,2500,2500
340382104,1,1988,26-34,NA,NA,4500,5000,7000
340319104,1,1981,33-41,NA,NA,8000,15000,15000
360161102,1,1971,43-51,NA,NA,7000,6000,8000
340306101,0,1971,43-51,NA,3000,NA,4000,NA
340343103,1,1988,26-34,NA,NA,7000,3000,7000
340337104,1,1992,22-30,NA,8500,12800,14500,17000
340382103,0,1989,25-33,NA,1500,2500,3500,4200
340318104,0,1983,31-39,5000,NA,7000,2500,7000
350082106,0,1997,17-25,NA,3000,3000,NA,NA
350068103,0,1992,22-30,1770,NA,8000,8900,8333
350107106,0,1992,22-30,2500,NA,2000,2000,1880
350109103,1,1996,18-26,NA,NA,4100,6000,8000
350083104,1,1980,34-42,3500,15000,15000,10000,10000
350142104,1,1988,26-34,NA,1900,2500,2500,2800
350130105,1,1992,22-30,NA,NA,NA,6000,3600
350130104,0,1987,27-35,3200,NA,2500,2300,NA
350183107,0,1990,24-32,NA,NA,4000,5000,5000
350199102,0,1974,40-48,NA,NA,2000,NA,3000
350009103,1,1984,30-38,3700,4500,5000,7000,8000
350055103,1,1979,35-43,NA,NA,NA,5000,5000
350055106,0,1979,35-43,NA,2300,NA,NA,3000
350018104,1,1985,29-37,3600,NA,6000,9000,11000
360294104,1,1982,32-40,2500,5000,NA,9000,7000
360294105,0,1987,27-35,3200,NA,NA,3000,5000
360339104,1,1987,27-35,6000,6000,7000,7750,8500
360278103,1,1991,23-31,2200,NA,5000,0,8000
360330101,1,1989,25-33,50000,NA,3000,NA,5000
360331105,0,1980,34-42,3300,NA,2500,NA,3000
360270101,1,1971,43-51,3000,NA,3000,3000,6500
360054103,1,1993,21-29,NA,NA,3500,2500,3000
360061103,1,1986,28-36,NA,9700,5000,NA,13000
360061104,0,1986,28-36,NA,4000,5000,NA,6000
360041104,1,1992,22-30,NA,3000,3000,4700,4900
360061102,0,1957,57-65,NA,NA,1550,NA,1500
360093103,1,1969,45-53,NA,3300,3000,3100,3100
370303103,1,1992,22-30,2600,NA,3500,6000,8000
370298102,1,1972,42-50,NA,NA,3500,4500,NA
370308105,1,1996,18-26,NA,3000,NA,2600,3200
370286103,0,1992,22-30,NA,0,2000,2500,NA
370015103,1,1988,26-34,6500,NA,NA,8000,10000
370109102,1,1969,45-53,40000,NA,7500,8000,10000
370058103,1,1986,28-36,12000,6300,6500,8200,12000
370015102,1,1966,48-56,2800,NA,2200,2200,0
370037103,1,1972,42-50,2000,NA,4500,5500,6500
370750103,0,1995,19-27,NA,800,1250,5000,100
370092103,1,1988,26-34,2500,4500,5000,6000,5000
370172103,1,1989,25-33,4500,NA,5000,6000,5500
411437104,0,1992,22-30,4000,3000,4500,NA,NA
411440106,1,1987,27-35,NA,NA,3800,4000,5000
411436103,1,1989,25-33,NA,3000,5500,NA,NA
411440103,0,1984,30-38,3000,4600,3500,3000,3800
411440107,0,1988,26-34,3000,3500,5000,3500,5000
411042104,0,1970,44-52,NA,1800,1900,2000,NA
411118105,1,1980,34-42,3500,3200,NA,NA,4000
411116105,1,1989,25-33,3000,10000,NA,15000,16000
411034104,1,1994,20-28,3500,NA,4000,16000,13000
411097102,1,1965,49-57,NA,NA,3000,2500,NA
411057103,1,1990,24-32,2700,NA,5000,11000,NA
411110104,1,1984,30-38,4000,NA,5000,6000,6800
411096104,0,1969,45-53,NA,NA,4000,3500,NA
411588104,1,1989,25-33,4250,NA,5000,5000,NA
411593103,1,1994,20-28,NA,NA,NA,5000,10500
411762101,1,1966,48-56,NA,NA,4000,4500,8000
411601103,1,1996,18-26,NA,2100,2000,3500,5000
410788103,1,1977,37-45,4600,NA,NA,5000,6500
410793104,1,1988,26-34,NA,3000,1400,1600,2000
410799103,1,1992,22-30,4000,4500,NA,5500,NA
410349101,0,1989,25-33,0,1200,5000,NA,0
411313103,1,1993,21-29,3000,NA,5000,5000,4000
410724105,1,1984,30-38,NA,NA,2800,3500,3500
410740103,1,1986,28-36,NA,NA,NA,2000,5000
410742103,1,1982,32-40,NA,NA,NA,7000,12000
411022108,1,1993,21-29,NA,NA,8000,2000,NA
410742104,0,1984,30-38,NA,NA,4500,4500,3000
411007106,0,1981,33-41,NA,NA,5000,NA,8700
410745104,1,1991,23-31,NA,NA,7000,5000,5200
411720104,0,1989,25-33,NA,0,3500,4000,4000
410447104,0,1997,17-25,2600,2000,NA,4000,1800
410443101,1,1970,44-52,NA,NA,4500,5000,NA
410416104,1,1998,16-24,NA,0,20000,NA,NA
410413103,1,1976,38-46,3000,NA,NA,4500,5000
410449101,1,1964,50-58,NA,NA,5000,9000,NA
410408104,1,1993,21-29,NA,NA,3000,3000,NA
410399104,0,1988,26-34,2000,1400,2600,2300,2600
410448102,1,1974,40-48,2000,NA,3700,4200,4500
410390108,1,1992,22-30,6000,NA,6000,7000,NA
410390106,1,1968,46-54,5800,5400,6000,8000,NA
410403106,0,1989,25-33,2000,NA,3000,NA,0
410448103,0,1972,42-50,2000,NA,3000,3700,4600
410408103,1,1991,23-31,NA,NA,3000,4000,NA
410392102,1,1970,44-52,6000,NA,3000,8000,9000
410399103,1,1998,16-24,NA,NA,3000,0,6000
410436103,0,1998,16-24,NA,NA,NA,3000,3000
410430103,0,1995,19-27,1800,NA,2200,900,3000
410402103,1,1987,27-35,1300,NA,2800,10000,8000
410430102,1,1972,42-50,3000,NA,4000,5000,NA
410390101,1,1965,49-57,3000,4000,5000,NA,NA
410399102,1,1966,48-56,NA,3000,NA,0,NA
410426103,1,1988,26-34,NA,6000,6000,7000,4000
410400104,1,1996,18-26,2000,NA,7000,5500,3000
410436101,1,1973,41-49,NA,3900,5000,NA,NA
410531103,1,1991,23-31,3000,3000,4500,4500,6500
411169104,0,1980,34-42,NA,4600,4500,6000,7400
411168104,1,1997,17-25,NA,3000,3500,6500,7500
411169103,1,1980,34-42,NA,4000,5000,5500,7000
411151104,1,1971,43-51,NA,NA,2000,2000,NA
410149105,1,1994,20-28,2000,4000,NA,4500,4000
411398101,1,1989,25-33,4000,NA,6000,NA,8000
411459103,0,1979,35-43,2200,NA,2000,NA,186
411461103,1,1979,35-43,NA,NA,5000,3500,NA
410973104,1,1996,18-26,4500,3000,8000,10000,9000
410989104,1,1996,18-26,4000,2500,7000,7000,NA
411542101,1,1979,35-43,4400,NA,6000,7000,6000
411528103,1,1988,26-34,4300,NA,6000,7500,9000
411547102,1,1977,37-45,NA,4000,NA,5000,6000
411578103,0,1993,21-29,3000,0,NA,2500,2300
410561102,1,1972,42-50,7000,NA,NA,NA,8000
410562103,0,1995,19-27,NA,NA,3500,4300,4500
410558101,1,1971,43-51,NA,NA,6000,5700,9000
411491102,1,1958,56-64,NA,7500,7500,NA,NA
410718101,1,1970,44-52,NA,NA,6000,NA,8300
410704103,1,1994,20-28,NA,NA,3800,4133,3000
410710104,1,1991,23-31,NA,NA,3000,2800,3500
420353103,1,1994,20-28,3000,3800,NA,2100,7000
420316104,0,1994,20-28,2800,2300,NA,NA,6000
420311104,0,1988,26-34,NA,NA,2000,3000,3500
420456105,1,1994,20-28,NA,NA,5800,8800,10500
420282105,0,1985,29-37,NA,2400,6500,6000,6500
430376104,0,1984,30-38,NA,NA,NA,2000,500
430376101,1,1979,35-43,6000,NA,6000,10000,12000
430328104,0,1987,27-35,2800,3000,4000,5000,5000
430561103,1,1987,27-35,NA,NA,NA,7000,5500
411511101,1,1958,56-64,2300,NA,NA,3500,4000
430463104,0,1992,22-30,2200,4480,2000,7000,NA
430451104,0,1994,20-28,NA,966,4000,1350,4000
430590103,0,1992,22-30,NA,2000,2500,3500,2700
430525101,1,1976,38-46,NA,NA,5000,3500,NA
430530103,1,1965,49-57,2700,NA,NA,3000,NA
430525102,0,1977,37-45,NA,NA,5000,NA,2300
430590101,0,1969,45-53,800,1100,1600,2000,1500
430368103,1,1982,32-40,NA,NA,NA,2800,3000
